"Requirement ID";"Original Requirement Text";"Suggested Reformulation";"Pattern";"Issues";"Severity";"Conflicts";"Missing Information";"Rationale"
"UC-002-3";"`create_transaction(payload)` — `POST /api/v1/transactions`; treats HTTP 200 and 201 as success; raises `FireflyConnectionError` on any other status code.";"`create_transaction(payload)` — `POST /api/v1/transactions`; treats HTTP 200 and 201 as success; raises `FireflyConnectionError` on any other status code.";"P2+P4";"NONE";"";"";"";"Meets all review criteria."
"TXT-REQ-004";"Unit test coverage ≥ 90 %.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Process/verification constraint on the test suite for REQ-002; qualifies REQ-002, imposes no runtime behavior obligation on FireflyClient itself."
"REQ-003";"As a consumer application, I want read-only methods for bills, budgets, categories, and summary, so that reporting tools can access Firefly III data without reimplementing HTTP calls.";"";"";"NOT-A-REQUIREMENT";"";"";"";"User story states rationale/motivation for this section, not an independently verifiable obligation. The testable obligations are fully enumerated in UC-003-1 through UC-003-5 below, each reviewed individually."
"UC-003-1";"`get_bills()` — `GET /api/v1/bills`; returns `data` list.";"`get_bills()` — `GET /api/v1/bills`; returns `data` list.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-003-2";"`get_budgets()` — `GET /api/v1/budgets`; returns `data` list.";"`get_budgets()` — `GET /api/v1/budgets`; returns `data` list.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-003-3";"`get_budget_limits(budget_id)` — `GET /api/v1/budgets/{id}/limits`; returns `data` list.";"`get_budget_limits(budget_id)` — `GET /api/v1/budgets/{id}/limits`; returns `data` list.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-003-4";"`get_categories()` — `GET /api/v1/categories`; returns `data` list.";"`get_categories()` — `GET /api/v1/categories`; returns `data` list.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-003-5";"`get_summary(start, end)` — `GET /api/v1/summary/basic?start=YYYY-MM-DD&end=YYYY-MM-DD`; returns the response dict. Both `start` and `end` are required by the Firefly III API.";"`get_summary(start, end)` — `GET /api/v1/summary/basic?start=YYYY-MM-DD&end=YYYY-MM-DD`; returns the response dict. Both `start` and `end` are required by the Firefly III API.";"P2";"NONE";"";"";"";"Meets all review criteria. Second sentence clarifies an external API constraint (not our system's own passive action); acceptable as written."
"TXT-REQ-005";"Unit test coverage ≥ 90 %.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Process/verification constraint on the test suite for REQ-003; qualifies REQ-003, imposes no runtime behavior obligation on FireflyClient itself."
"REQ-004";"As a developer, I want a suite of integration tests that connect to a real Firefly III instance, so that I can verify the library works end-to-end against actual API responses.";"";"";"NOT-A-REQUIREMENT";"";"";"";"User story states rationale/motivation for this section, not an independently verifiable obligation. The testable obligations are fully enumerated in UC-004-1 through UC-004-4 and the constraint rows below, each reviewed individually."
"UC-004-1";"`validate_connection()` succeeds against the configured instance.";"`validate_connection()` succeeds against the configured instance.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-004-2";"`get_asset_accounts()` returns a non-empty list of accounts.";"`get_asset_accounts()` returns a non-empty list of accounts.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-004-3";"`get_latest_transaction_date(account_id)` returns a date string or `None` for the first account returned by `get_asset_accounts()`.";"`get_latest_transaction_date(account_id)` returns a date string or `None` for the first account returned by `get_asset_accounts()`.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-004-4";"`get_bills()`, `get_budgets()`, `get_categories()`, and `get_summary()` return without error.";"`get_bills()`, `get_budgets()`, `get_categories()`, and `get_summary()` return without error.";"P2";"NONE";"";"";"";"Meets all review criteria. ""And"" here joins one obligation (all four calls succeed in the same test run), not separate obligations, so no R4 decomposition applies."
"TXT-REQ-006";"Integration tests live in `tests/integration/` and are excluded from `make test`.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Build/process constraint on test suite organization; qualifies REQ-004 (Integration Tests), not a standalone system obligation."
"TXT-REQ-007";"Run with `make test-integration`.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Bare operational instruction for executing the integration test suite; qualifies REQ-004, imposes no obligation on the system itself."
"TXT-REQ-008";"Credentials are read via `load_config()` from a `.env` file or environment.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Restates the credential-loading mechanism already specified in UC-001-2, applied here as a constraint on how REQ-004's integration tests obtain credentials; qualifies REQ-004 and cross-references UC-001-2."
"TXT-REQ-009";"No write operations (`create_transaction`) are included — read-only only.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Legitimate scope exclusion narrowing the integration test suite to read-only calls; qualifies REQ-004, not a standalone system obligation."
"TXT-REQ-010";"Tests are skipped automatically if `FIREFLY_URL` or `FIREFLY_TOKEN` is absent.";"If `FIREFLY_URL` or `FIREFLY_TOKEN` is absent from the environment, then the integration test suite shall skip the affected integration tests automatically.";"P4";"PASSIVE-VOICE";"Major";"";"";"Unlike the neighboring bullet constraints, this line imposes a verifiable conditional obligation (skip behavior) and is therefore reviewed as a normal requirement rather than tagged CONDITION-OR-CONSTRAINT. Original passive construction (""tests are skipped"") lacked a clear performing subject; reformulated with the integration test suite as active subject."
"REQ-005";"As a developer using an IDE, I want concrete types for the data structures returned by `FireflyClient`, so that I get accurate code completion and type checking in VS Code and mypy.";"";"";"NOT-A-REQUIREMENT";"";"";"";"User story states rationale/motivation for this section, not an independently verifiable obligation. The testable obligations are fully enumerated in UC-005-1 through UC-005-6 and the constraint rows below, each reviewed individually."
"UC-005-1";"`get_asset_accounts()` returns `list[AssetAccount]` where `AssetAccount` is a `TypedDict` with keys `id: str` and `name: str`.";"`get_asset_accounts()` returns `list[AssetAccount]` where `AssetAccount` is a `TypedDict` with keys `id: str` and `name: str`.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-005-2";"`get_latest_transaction_date()` return type remains `str | None` (already precise).";"The system shall return `get_latest_transaction_date()` results typed as `str | None`, consistent with the behavior already defined in UC-002-2.";"P2";"UNNECESSARY";"Minor";"";"";"Statement only confirms an already-established type contract (UC-002-2) and imposes no new obligation on the system. Reformulated as a restatement for completeness rather than a new requirement."
"UC-005-3";"`create_transaction(payload)` accepts a `TransactionPayload` `TypedDict` describing the required and optional fields: `type`, `date`, `amount`, `description`, `source_id`, `destination_id`, `currency_code`.";"`create_transaction(payload)` shall accept a `TransactionPayload` `TypedDict` describing the fields `type`, `date`, `amount`, `description`, `source_id`, `destination_id`, and `currency_code`, of which [VALUE TBD] are mandatory and [VALUE TBD] are optional.";"P2";"AMBIGUOUS, VALUE-TBD";"Critical";"";"Which of `type`, `date`, `amount`, `description`, `source_id`, `destination_id`, `currency_code` are mandatory versus optional is not specified, even though the text calls out ""required and optional fields.""";"Original groups all seven fields as ""required and optional"" without distinguishing which is which, so a test cannot verify which fields must be supplied. Flagged as a key-parameter gap (Critical) pending clarification from the requirement owner; no value was invented."
"UC-005-4a";"`get_bills()`... return `list[BillData]`... — each a `TypedDict` with at least `id: str` and `attributes: dict[str, Any]`.";"`get_bills()` returns `list[BillData]`, a `TypedDict` with at least `id: str` and `attributes: dict[str, Any]`.";"P2";"NONE";"";"";"";"Meets all review criteria. Decomposed from the original combined UC-005-4 bullet per R4, since it bundled four distinct methods (`get_bills`, `get_budgets`, `get_budget_limits`, `get_categories`) each with its own return type, not a single obligation with a joined list of items."
"UC-005-4b";"`get_budgets()`... return `list[BudgetData]`... — each a `TypedDict` with at least `id: str` and `attributes: dict[str, Any]`.";"`get_budgets()` returns `list[BudgetData]`, a `TypedDict` with at least `id: str` and `attributes: dict[str, Any]`.";"P2";"NONE";"";"";"";"Meets all review criteria. Decomposed from the original combined UC-005-4 bullet per R4 (see UC-005-4a rationale)."
"UC-005-4c";"`get_budget_limits()`... return `list[BudgetLimitData]`... — each a `TypedDict` with at least `id: str` and `attributes: dict[str, Any]`.";"`get_budget_limits()` returns `list[BudgetLimitData]`, a `TypedDict` with at least `id: str` and `attributes: dict[str, Any]`.";"P2";"NONE";"";"";"";"Meets all review criteria. Decomposed from the original combined UC-005-4 bullet per R4 (see UC-005-4a rationale)."
"UC-005-4d";"`get_categories()`... return `list[CategoryData]`... — each a `TypedDict` with at least `id: str` and `attributes: dict[str, Any]`.";"`get_categories()` returns `list[CategoryData]`, a `TypedDict` with at least `id: str` and `attributes: dict[str, Any]`.";"P2";"NONE";"";"";"";"Meets all review criteria. Decomposed from the original combined UC-005-4 bullet per R4 (see UC-005-4a rationale)."
"UC-005-5";"`get_summary()` return type remains `dict[str, Any]` (summary structure varies by Firefly configuration).";"The system shall return `get_summary(start, end)` results typed as `dict[str, Any]`, consistent with the behavior already defined in UC-003-5; the summary structure varies by Firefly configuration.";"P2";"UNNECESSARY";"Minor";"";"";"Statement only confirms an already-established type contract (UC-003-5) and imposes no new obligation on the system."
"UC-005-6";"All `TypedDict` types are importable from `firefly_python_api`.";"The system shall make all `TypedDict` types it defines (including `AssetAccount`, `TransactionPayload`, `BillData`, `BudgetData`, `BudgetLimitData`, and `CategoryData`) importable directly from `firefly_python_api`.";"P1";"WRONG-SUBJECT";"Major";"";"";"Obligation was placed on the artefact (""all TypedDict types are importable"") rather than on the system. Reformulated with the system as the active subject making the types importable."
"TXT-REQ-011";"No new runtime dependencies.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Design constraint restricting REQ-005's implementation; qualifies REQ-005 (Typed Return Values), not a standalone system obligation."
"TXT-REQ-012";"`mypy --strict` must pass.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Tooling/process constraint verifying REQ-005's type annotations; qualifies REQ-005. Uses ""must,"" the document's sole recurring binding modal in constraint statements (see REVIEW-TERMINOLOGY)."
"TXT-REQ-013";"Unit test coverage must not drop below baseline.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Process constraint on test coverage regression for REQ-005; qualifies REQ-005, not a standalone system obligation."
"REQ-006";"As a consumer application (e.g. firefly-bills-analyzer), I want a method that returns all withdrawal transactions in a date range as typed data, so that I can analyze spending/recurring payments without reimplementing pagination or Firefly III's split-transaction structure.";"";"";"NOT-A-REQUIREMENT";"";"";"";"User story states rationale/motivation for this section, not an independently verifiable obligation. The testable obligations are fully enumerated in UC-006-1 through UC-006-5 and the constraint rows below, each reviewed individually."
"UC-006-1";"`get_withdrawal_transactions(start, end)` — paginated `GET /api/v1/transactions?type=withdrawal&start=YYYY-MM-DD&end=YYYY-MM-DD&page=N`; follows all pages until `total_pages` is reached; returns `list[TransactionRead]`.";"`get_withdrawal_transactions(start, end)` — paginated `GET /api/v1/transactions?type=withdrawal&start=YYYY-MM-DD&end=YYYY-MM-DD&page=N`; follows all pages until `total_pages` is reached; returns `list[TransactionRead]`.";"P2";"NONE";"";"";"";"Meets all review criteria."
"UC-006-2";"Each Firefly III transaction object may contain multiple splits under `attributes.transactions`; each split is flattened into its own `TransactionRead` entry.";"When a Firefly III transaction object returned by `get_withdrawal_transactions()` contains multiple splits under `attributes.transactions`, the system shall flatten each split into its own `TransactionRead` entry.";"P2";"PASSIVE-VOICE";"Major";"";"";"""Each split is flattened"" is a passive construction with no stated performing subject. Reformulated with the system as active subject and the multi-split condition made an explicit trigger."
"UC-006-3";"`TransactionRead` is a `TypedDict` with `date: str` (truncated to `YYYY-MM-DD`), `amount: str`, `destination_name: str | None`, `category_name: str | None` — the latter two default to `None` when absent from the API response.";"The system shall represent each withdrawal transaction split as a `TransactionRead` `TypedDict` with fields `date: str` (truncated to `YYYY-MM-DD`), `amount: str`, `destination_name: str | None`, and `category_name: str | None`. If `destination_name` or `category_name` is absent from the API response, then the system shall set the corresponding field to `None`.";"P1+P4";"WRONG-SUBJECT";"Major";"";"";"Obligation was placed on the data structure (""TransactionRead is..."" / ""default to None"") rather than on the system. Reformulated so the system actively constructs the type and actively assigns the default values."
"UC-006-4";"`TransactionRead` is exported from `firefly_python_api`.";"The system shall export `TransactionRead` from `firefly_python_api`.";"P1";"WRONG-SUBJECT";"Major";"";"";"Obligation was placed on the artefact (""TransactionRead is exported"") in passive voice rather than on the system. Reformulated with the system as active subject; passive form treated as part of the same WRONG-SUBJECT defect per rule precedence."
"UC-006-5";"`TransactionRead` additionally carries `source_name: str | None` and `source_id: str | None` — the split's source account (the account funds are drawn from), needed by consumers to plan balance transfers ahead of recurring withdrawals. Both default to `None` when absent from the API response, per the same rule as `destination_name`/`category_name` (UC-006-3).";"The system shall include `source_name: str | None` and `source_id: str | None` fields in `TransactionRead`, representing the split's source account (the account funds are drawn from), needed by consumers to plan balance transfers ahead of recurring withdrawals. If `source_name` or `source_id` is absent from the API response, then the system shall set the corresponding field to `None`, per the same rule as `destination_name` and `category_name` (UC-006-3).";"P1+P4";"WRONG-SUBJECT";"Major";"";"";"Obligation was placed on the artefact (""TransactionRead ... carries"" / ""both default to None"") rather than on the system. Reformulated with the system as active subject; original cross-reference to UC-006-3 preserved."
"TXT-REQ-014";"No new runtime dependencies.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Design constraint restricting REQ-006's implementation; qualifies REQ-006 (Withdrawal Transaction Fetching), not a standalone system obligation."
"TXT-REQ-015";"`mypy --strict` must pass.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Tooling/process constraint qualifying REQ-006. Uses ""must,"" consistent with the document's recurring constraint-modal convention (see REVIEW-TERMINOLOGY)."
"TXT-REQ-016";"Unit test coverage must not drop below baseline.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Process constraint on test coverage regression for REQ-006; qualifies REQ-006, not a standalone system obligation."
"REQ-007";"As a consumer application (e.g. firefly-bills-analyzer), I want a method to create a new bill via `FireflyClient`, so that I can programmatically register recurring bills without duplicating HTTP calls.";"";"";"NOT-A-REQUIREMENT";"";"";"";"User story states rationale/motivation for this section, not an independently verifiable obligation. The testable obligations are fully enumerated in UC-007-1 through UC-007-4 and the constraint rows below, each reviewed individually."
"UC-007-1";"`create_bill(bill)` — `POST /api/v1/bills`; treats HTTP 200 and 201 as success; raises `FireflyConnectionError` on any other status code (including 422 for a duplicate bill name).";"`create_bill(bill)` — `POST /api/v1/bills`; treats HTTP 200 and 201 as success; raises `FireflyConnectionError` on any other status code (including 422 for a duplicate bill name).";"P2+P4";"NONE";"";"";"";"Meets all review criteria."
"UC-007-2a";"`create_bill(payload)` accepts a `BillPayload` `TypedDict` with required fields: `name: str`, `amount_min: str`, `amount_max: str`, `date: str` (`YYYY-MM-DD`), `repeat_freq: str`, `active: bool`. `repeat_freq` values accepted by the Firefly III API are `weekly`, `monthly`, `quarterly`, `half-year`, `yearly`.";"`create_bill(payload)` accepts a `BillPayload` `TypedDict` with required fields `name: str`, `amount_min: str`, `amount_max: str`, `date: str` (`YYYY-MM-DD`), `repeat_freq: str`, and `active: bool`. `repeat_freq` values accepted by the Firefly III API are `weekly`, `monthly`, `quarterly`, `half-year`, and `yearly`.";"P2";"NONE";"";"";"";"Meets all review criteria. Decomposed from the original UC-007-2 bullet per R4, separating the payload shape (this row) from the client's non-validation behavior for `repeat_freq` (UC-007-2b), which is a distinct obligation."
"UC-007-2b";"The client does not validate this value before sending — invalid values are rejected by the API.";"The system shall send `repeat_freq` values to the Firefly III API without performing client-side validation, relying on the Firefly III API to reject invalid values (accepted values: `weekly`, `monthly`, `quarterly`, `half-year`, `yearly`).";"P1";"NEGATIVE-REQUIREMENT";"Minor";"";"";"""Does not validate"" can be expressed at least as clearly in positive form (delegating validation to the API), so it does not qualify as a legitimate scope exclusion left as-is. Decomposed from UC-007-2 per R4 as a separate obligation from the payload shape (UC-007-2a)."
"UC-007-3";"`BillPayload` is importable from `firefly_python_api`.";"The system shall make `BillPayload` importable from `firefly_python_api`.";"P1";"WRONG-SUBJECT";"Major";"";"";"Obligation was placed on the artefact (""BillPayload is importable"") rather than on the system. Reformulated with the system as active subject."
"UC-007-4";"When `create_bill()` raises `FireflyConnectionError` because the response status was outside 200/201, the exception carries the failed response's `status_code: int` and, when the response body is valid JSON, `response_body: dict[str, Any]` (both default to `None`, e.g. for a network-level failure with no response at all). This lets a caller distinguish a 422 ""name already in use"" validation error from any other non-2xx status without re-parsing HTTP internals itself.";"When `create_bill()` raises `FireflyConnectionError` because the response status was outside 200 and 201, the system shall attach `status_code: int` to the raised exception, and, when the response body is valid JSON, shall attach `response_body: dict[str, Any]` to the raised exception, defaulting both attributes to `None` when unavailable (for example, for a network-level failure with no response).";"P4";"WRONG-SUBJECT";"Major";"";"";"Obligation was placed on the artefact (""the exception carries..."") rather than on the system that raises and populates it. Trigger clause from the original was already explicit and preserved. The closing rationale sentence (""This lets a caller distinguish..."") was excluded from the reformulation as non-normative purpose text."
"TXT-REQ-017";"No new runtime dependencies.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Design constraint restricting REQ-007's implementation; qualifies REQ-007 (Bill Creation), not a standalone system obligation."
"TXT-REQ-018";"`mypy --strict` must pass.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Tooling/process constraint qualifying REQ-007. Uses ""must,"" consistent with the document's recurring constraint-modal convention (see REVIEW-TERMINOLOGY)."
"TXT-REQ-019";"Unit test coverage must not drop below baseline.";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Process constraint on test coverage regression for REQ-007; qualifies REQ-007, not a standalone system obligation."
"TXT-REQ-020";"UC-007-4 must not change behavior for existing callers of `create_bill()`, `create_transaction()`, or any `_get`/`_post` caller — only add attributes to the exception already raised.";"The system shall preserve existing behavior for existing callers of `create_bill()`, `create_transaction()`, and any `_get`/`_post` caller when the `status_code` and `response_body` attributes (UC-007-4) are added to the exception raised by `create_bill()`; no other behavioral change shall be introduced.";"P1";"WRONG-SUBJECT, NEGATIVE-REQUIREMENT";"Major";"";"";"This constraint imposes a verifiable backward-compatibility obligation, so it is reviewed as a normal requirement rather than a bare CONDITION-OR-CONSTRAINT. Original grammatical subject was ""UC-007-4"" (a requirement reference) rather than the system; also phrased as an avoidable negative (""must not change"") that is at least as clear stated positively (""shall preserve""). Reformulated with the system as active subject and positive phrasing."
"REVIEW-TERMINOLOGY";"";"";"";"TERM-INCONSISTENT";"Minor";"";"Terms used without a formal glossary/definition section: ""asset account"", ""withdrawal transaction"", ""split"", ""budget limit"", ""summary structure"".";"Terminology is used consistently across requirements (method names, TypedDict names, endpoints, and date formats do not drift or mix languages), so no per-row TERM-INCONSISTENT tags were applied. The document's only recurring explicit binding modal is ""must"", used consistently in the Constraints bullets (REQ-005/006/007) and in TXT-REQ-020; the rest of the specification uses agile user-story form (As a/I want/so that) without ""shall""/""must"", which is acceptable per the R13 agile exception, and no ""shall"" vs ""must"" drift was found. However, no dedicated term-definition/glossary section, as recommended by ISO 29148 §5.2.4, is present anywhere in the document, so this row is tagged TERM-INCONSISTENT per the whole-document check rule."
"REVIEW-TRACEABILITY";"";"";"";"NONE";"";"";"";"No trace/parent/derived-from/RTM references, links to higher-level requirements, or origin annotations appear anywhere in the input. REQ-00X and UC-00X-N labels are structural section and use-case numbering only, not traceability links. Traceability is therefore out of scope per R15, and no per-row TRACE-MISSING tags were applied."
